OG0019102	GO:0035556;GO:0005515
OG0002676	GO:0005515
OG0023827	GO:0003676
OG0037126	GO:0003824;GO:0005975;GO:0016616;GO:0055114;GO:0016491;GO:0019752;GO:0006108;GO:0016615
OG0023268	GO:0005525;GO:0003924
OG0002576	GO:0003676;GO:0015074
OG0034746	GO:0004047;GO:0006546
OG0033184	GO:0007064;GO:0031390
OG0009418	GO:0006310;GO:0008026;GO:0003676;GO:0005524;GO:0006260;GO:0006281;GO:0043140
OG0025882	GO:0005515
OG0006509	GO:0003735;GO:0005840;GO:0006412
OG0034185	GO:0046983;GO:0003676
OG0032776	GO:0005509
OG0036353	GO:0005515
OG0002669	GO:0016787
OG0004908	GO:0005381;GO:0016021;GO:0034755
OG0011202	GO:0005515
OG0027571	GO:0016021
OG0002681	GO:0008376;GO:0032580
OG0027360	GO:0005622;GO:0008270;GO:0005515
OG0021881	GO:0004930;GO:0007186;GO:0016021
OG0009377	GO:0005515
OG0009201	GO:0003676
OG0033080	GO:0003676
OG0026224	GO:0003676;GO:0003723
OG0028542	GO:0003723
OG0022146	GO:0006839;GO:0031966
OG0015787	GO:0004977;GO:0007186;GO:0016021;GO:0004930
OG0001743	GO:0005337;GO:0016020;GO:1901642
OG0022842	GO:0003676
OG0002319	GO:0006952
OG0008030	GO:0016020;GO:0022904;GO:0009055;GO:0016021
OG0003834	GO:0006814;GO:0006885;GO:0015385;GO:0016021;GO:0055085;GO:0006812;GO:0015299
OG0017368	GO:0005515
OG0022866	GO:0005524;GO:0016887
OG0009256	GO:0004672;GO:0005524;GO:0006468
OG0006071	GO:0004930;GO:0007186;GO:0016021
OG0005195	GO:0005515
OG0002961	GO:0003735;GO:0005622;GO:0005840;GO:0006412
OG0015809	GO:0008270;GO:0009056
OG0008922	GO:0006486;GO:0008378;GO:0016020
OG0024268	GO:0005576;GO:0006030;GO:0008061
OG0017499	GO:0005789;GO:0006506;GO:0016740;GO:0003824;GO:0008152
OG0007147	GO:0005515;GO:0035556
OG0020644	GO:0005515
OG0003688	GO:0003676
OG0026708	GO:0005515
OG0004700	GO:0016491;GO:0055114
OG0000084	GO:0005515
OG0007645	GO:0006886;GO:0006888;GO:0008270;GO:0030127
OG0017863	GO:0005509
OG0011438	GO:0005576;GO:0008200;GO:0009405
OG0000863	GO:0005515
OG0033160	GO:0004674;GO:0005524;GO:0006468
OG0033139	GO:0003924;GO:0005525
OG0017310	GO:0004791;GO:0016491;GO:0055114;GO:0045454;GO:0050660
OG0025866	GO:0005622;GO:0008270
OG0028795	GO:0008168
OG0000720	GO:0005096
OG0027779	GO:0006511
OG0009560	GO:0005515
OG0027484	GO:0005215;GO:0006810;GO:0016020;GO:0055085
OG0020374	GO:0005737;GO:0006629;GO:0016021;GO:0016627
OG0023617	GO:0016301;GO:0016772;GO:0003824
OG0015494	GO:0005515
OG0020141	GO:0005515
OG0025873	GO:0035091;GO:0005515;GO:0003824;GO:0050660
OG0007742	GO:0005515
OG0021777	GO:0003677;GO:0005634;GO:0006260;GO:0006281;GO:0006310
OG0024821	GO:0005249;GO:0006813;GO:0008076
OG0009720	GO:0008146
OG0018850	GO:0015708
OG0032643	GO:0008152;GO:0008168
OG0026127	GO:0003676
OG0011811	GO:0003735;GO:0005840;GO:0006412
OG0007597	GO:0006508;GO:0008236
OG0035047	GO:0004930;GO:0007186;GO:0016021;GO:0000786;GO:0003677;GO:0006334
OG0035384	GO:0005509;GO:0005783;GO:0006457;GO:0051082;GO:0005515
OG0010969	GO:0003676;GO:0003723
OG0028577	GO:0005634
OG0014373	GO:0003677
OG0007603	GO:0003676
OG0000439	GO:0005201
OG0022293	GO:0005885;GO:0015629;GO:0030833;GO:0034314
OG0016678	GO:0004930;GO:0007186;GO:0016021
OG0024742	GO:0052855
OG0014930	GO:0004930;GO:0007186;GO:0016021
OG0018838	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497
OG0023961	GO:0005525;GO:0003924
OG0025571	GO:0003676
OG0036579	GO:0003735;GO:0005840;GO:0006412;GO:0015934
OG0029502	GO:0005509
OG0010426	GO:0004364;GO:0005737;GO:0008152;GO:0005515
OG0027048	GO:0005794;GO:0007165
OG0000829	GO:0005515
OG0008192	GO:0005515;GO:0005488;GO:0004672;GO:0005524;GO:0006468
OG0023363	GO:0043087;GO:0007165
OG0020883	GO:0004930;GO:0007186;GO:0016021
OG0010968	GO:0008270
OG0016173	GO:0003824
OG0003781	GO:0005089;GO:0035023
OG0025851	GO:0005515
OG0001443	GO:0004139;GO:0005737;GO:0009264;GO:0016829;GO:0003824
OG0003276	GO:0004014;GO:0006597;GO:0008295
OG0006894	GO:0005509
OG0004507	GO:0016787
OG0014714	GO:0005515
OG0014598	GO:0003677;GO:0003713;GO:0006355
OG0005212	GO:0016021;GO:0055085
OG0015149	GO:0005524;GO:0006457;GO:0006950;GO:0051082
OG0014179	GO:0016791
OG0025616	GO:0004844;GO:0006281;GO:0006284
OG0004204	GO:0003746;GO:0006414
OG0010573	GO:0005515
OG0028562	GO:0005515
OG0030976	GO:0003676;GO:0003723;GO:0005634;GO:0006397
OG0003761	GO:0005515;GO:0003743;GO:0006413;GO:0005488
OG0004892	GO:0008237
OG0004177	GO:0008483;GO:0030170;GO:0003824
OG0017202	GO:0005515;GO:0008270
OG0005190	GO:0005515
OG0035775	GO:0043130
OG0031841	GO:0005515
OG0032458	GO:0004843;GO:0016579;GO:0036459
OG0030483	GO:0005515
OG0023571	GO:0003924;GO:0005525
OG0035069	GO:0005515
OG0002263	GO:0005743;GO:0005750;GO:0006122
OG0026116	GO:0003735;GO:0005840;GO:0006412
OG0019787	GO:0006355;GO:0043401;GO:0003677;GO:0004879;GO:0005634;GO:0003707;GO:0003700;GO:0008270;GO:0043565
OG0015678	GO:0005515
OG0000306	GO:0000398;GO:0003723;GO:0089701;GO:0046872;GO:0003676
OG0000898	GO:0003677
OG0012445	GO:0003676;GO:0005515
OG0003717	GO:0046872;GO:0005515
OG0014963	GO:0004602;GO:0006979;GO:0055114
OG0010587	GO:0005524;GO:0016887;GO:0006810;GO:0016021;GO:0042626;GO:0055085
OG0015161	GO:0003676
OG0024711	GO:0016491;GO:0050660;GO:0055114;GO:0046983
OG0005231	GO:0016020;GO:0005515
OG0036131	GO:0007017;GO:0030286
OG0028760	GO:0004672;GO:0005524;GO:0006468;GO:0005488
OG0021339	GO:0005524
OG0016566	GO:0016627;GO:0016020
OG0020531	GO:0005672;GO:0006367
OG0014049	GO:0005488
OG0009486	GO:0004930;GO:0007186;GO:0016021
OG0010266	GO:0004601;GO:0055114
OG0007913	GO:0003824;GO:0009058
OG0034580	GO:0035091
OG0036972	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0008097
OG0026794	GO:0003700;GO:0005667;GO:0006355
OG0026302	GO:0003676
OG0037467	GO:0016192
OG0013244	GO:0005515
OG0012200	GO:0005741;GO:0055085
OG0001144	GO:0003676
OG0018065	GO:0004252;GO:0016021
OG0032262	GO:0007166;GO:0016020;GO:0005515
OG0027428	GO:0016616;GO:0055114
OG0025277	GO:0009916;GO:0055114
OG0009637	GO:0016779;GO:0003676;GO:0008270
OG0032163	GO:0005515
OG0026658	GO:0004930;GO:0007186;GO:0016021
OG0002046	GO:0003824;GO:0016831;GO:0019752;GO:0030170
OG0018509	GO:0016747
OG0021763	GO:0003676
OG0019634	GO:0006470;GO:0008138;GO:0016311
OG0009688	GO:0005515
OG0002920	GO:0005515
OG0010176	GO:0005216;GO:0006811;GO:0016020;GO:0055085
OG0018788	GO:0005267;GO:0016020;GO:0071805
OG0024228	GO:0004930;GO:0007186;GO:0016021
OG0026022	GO:0016021
OG0001934	GO:0016020;GO:0005524;GO:0016887
OG0023457	GO:0003735;GO:0005622;GO:0005840;GO:0006412
OG0014529	GO:0003993
OG0019238	GO:0006400;GO:0016763
OG0005733	GO:0003735;GO:0005840;GO:0006412
OG0020159	GO:0003735;GO:0005622;GO:0005840;GO:0006412
OG0035288	GO:0005215;GO:0006810;GO:0016020
OG0001948	GO:0004114;GO:0007165
OG0011636	GO:0003774;GO:0005524;GO:0016459;GO:0005515
OG0010191	GO:0005515
OG0011888	GO:0003676;GO:0008270
OG0000017	GO:0005328;GO:0006836;GO:0016021
OG0004620	GO:0016757
OG0008188	GO:0016021;GO:0022857;GO:0055085;GO:0016020;GO:0022891
OG0009549	GO:0004198;GO:0005622;GO:0006508
OG0011664	GO:0003676;GO:0000166;GO:0004815;GO:0005524;GO:0005737;GO:0006422;GO:0004812;GO:0006418
OG0029666	GO:0006810;GO:0016021;GO:0016020
OG0013927	GO:0005515
OG0025069	GO:0003735;GO:0006412;GO:0015934
OG0030985	GO:0015074;GO:0003676
OG0017386	GO:0016021;GO:0055085
OG0004211	GO:0005515
OG0036595	GO:0003676
OG0016017	GO:0003676
OG0012779	GO:0005515;GO:0004114;GO:0007165;GO:0008081
OG0009040	GO:0003677;GO:0005634
OG0022008	GO:0035556
OG0006598	GO:0005515;GO:0005509;GO:0016020
OG0013926	GO:0005515
OG0003423	GO:0003676;GO:0015074
OG0007168	GO:0006508;GO:0008234
OG0018558	GO:0031072;GO:0051082;GO:0006457
OG0016872	GO:0005216;GO:0055085
OG0006656	GO:0003824;GO:0050662
OG0006590	GO:0003887;GO:0005634;GO:0006260;GO:0008270;GO:0000166;GO:0003677
OG0001932	GO:0016579;GO:0036459
OG0020684	GO:0004594;GO:0005524;GO:0015937
OG0019518	GO:0016021;GO:0022857;GO:0055085
OG0007661	GO:0003824;GO:0008152
OG0007354	GO:0005524
OG0028298	GO:0006457;GO:0051082;GO:0031072
OG0021524	GO:0008289
OG0027062	GO:0005509
OG0016183	GO:0004672;GO:0005524;GO:0006468
OG0030460	GO:0005524
OG0027499	GO:0035556
OG0032379	GO:0003676
OG0033425	GO:0003777;GO:0005524;GO:0007018;GO:0008017
OG0011622	GO:0004672;GO:0005524;GO:0006468
OG0013105	GO:0005524
OG0030850	GO:0003676;GO:0015074
OG0007365	GO:0003677
OG0007905	GO:0003676;GO:0005524
OG0025946	GO:0016020
OG0007448	GO:0003676;GO:0003723
OG0023949	GO:0003677;GO:0006310;GO:0015074
OG0002418	GO:0008152;GO:0008484;GO:0003824
OG0015580	GO:0005515
OG0011160	GO:0003676
OG0023026	GO:0003333;GO:0015171;GO:0016020
OG0011921	GO:0003676;GO:0008270
OG0024243	GO:0005524
OG0001067	GO:0003682;GO:0003677
OG0006582	GO:0005515
OG0010256	GO:0004674;GO:0005524;GO:0006468;GO:0004672;GO:0007165
OG0022117	GO:0004930;GO:0007186;GO:0016021
OG0009616	GO:0003677;GO:0006310;GO:0015074
OG0012995	GO:0003735;GO:0006412;GO:0015934;GO:0005840
OG0009214	GO:0005515;GO:0007165;GO:0008270;GO:0042981
OG0032634	GO:0005515
OG0021570	GO:0005783;GO:0016853;GO:0045454
OG0010429	GO:0003735;GO:0005622;GO:0005840;GO:0006412
OG0009904	GO:0004252;GO:0006508
OG0000124	GO:0004553;GO:0005975;GO:0004565
OG0006990	GO:0005515
OG0008631	GO:0005515;GO:0016021
OG0012394	GO:0008270
OG0008354	GO:0005515
OG0006710	GO:0006886;GO:0016192;GO:0030117;GO:0005488
OG0006336	GO:0003824;GO:0008152
OG0031833	GO:0003676
OG0007246	GO:0003735;GO:0005840;GO:0006412
OG0003027	GO:0003735;GO:0005622;GO:0005840;GO:0006412
OG0026108	GO:0070836
OG0008587	GO:0007034
OG0003148	GO:0003735;GO:0005622;GO:0005840;GO:0006412
OG0026270	GO:0020037;GO:0009190;GO:0016849;GO:0035556;GO:0004383;GO:0006182
OG0003185	GO:0009190;GO:0016849;GO:0035556;GO:0020037;GO:0004383;GO:0006182
OG0021188	GO:0006388;GO:0016772
OG0020716	GO:0005488
OG0017668	GO:0008152;GO:0016747;GO:0003824
OG0037491	GO:0005524;GO:0016301;GO:0016310;GO:0003824
OG0014110	GO:0006811;GO:0016021;GO:0005230;GO:0005216
OG0014787	GO:0055085
OG0010386	GO:0003743;GO:0006413;GO:0003723
OG0011012	GO:0005515
OG0025559	GO:0005509;GO:0016020;GO:0005044;GO:0005515
OG0003328	GO:0008270;GO:0016579;GO:0036459
OG0006449	GO:0005622;GO:0042254
OG0031855	GO:0003676
OG0010019	GO:0000975
OG0036772	GO:0016853;GO:0045454;GO:0005783
OG0013045	GO:0004672;GO:0005524;GO:0006468
OG0029459	GO:0005085;GO:0007264
OG0000947	GO:0016787
OG0018644	GO:0005524;GO:0006298;GO:0030983
OG0016545	GO:0003676;GO:0005524
OG0013504	GO:0003735;GO:0005622;GO:0005840;GO:0006412
OG0037423	GO:0003735;GO:0005622;GO:0005840;GO:0006412
OG0037009	GO:0005507;GO:0016491;GO:0055114
OG0022191	GO:0003824;GO:0008152;GO:0008484
OG0000231	GO:0003676
OG0006508	GO:0005525
OG0020467	GO:0003700;GO:0006355;GO:0043565
OG0003667	GO:0005515;GO:0004842;GO:0006511;GO:0061630
OG0018664	GO:0001104;GO:0006357;GO:0016592
OG0008927	GO:0001733;GO:0005794;GO:0009247;GO:0016021
OG0000255	GO:0005515
OG0022091	GO:0003824
OG0023596	GO:0003677;GO:0005515
OG0016153	GO:0003924;GO:0005525;GO:0004672;GO:0005524;GO:0006468
OG0014026	GO:0016020
OG0020015	GO:0005515;GO:0007165;GO:0005525;GO:0007264
OG0013789	GO:0003700;GO:0006355;GO:0043565
OG0009088	GO:0003735;GO:0005840;GO:0006412
OG0037314	GO:0003676;GO:0004523
OG0009431	GO:0046872;GO:0005096;GO:0008083
OG0034346	GO:0005515
OG0028893	GO:0005515
OG0016335	GO:0004930;GO:0007186;GO:0016021
OG0011796	GO:0001671;GO:0051087
OG0000268	GO:0005515
OG0032282	GO:0016021;GO:0055085
OG0024819	GO:0006511
OG0025368	GO:0005515
OG0024977	GO:0003676
OG0015965	GO:0005576;GO:0006030;GO:0008061
OG0015367	GO:0003676
OG0037283	GO:0009055;GO:0020037
OG0001384	GO:0005375;GO:0016021;GO:0035434
OG0031805	GO:0016021;GO:0022857;GO:0055085
OG0000319	GO:0003676;GO:0008270
OG0017607	GO:0003824
OG0018285	GO:0004930;GO:0007186;GO:0016021
OG0010778	GO:0016620;GO:0055114
OG0018159	GO:0003824;GO:0005524
OG0021898	GO:0016788
OG0006069	GO:0005515
OG0027013	GO:0005515
OG0017967	GO:0005201
OG0011727	GO:0003950
OG0015514	GO:0008146
OG0032828	GO:0003924;GO:0004871;GO:0007186;GO:0019001;GO:0031683;GO:0005525;GO:0007188
OG0000422	GO:0004252;GO:0006508
OG0029850	GO:0004252;GO:0006508
OG0003115	GO:0003953
OG0024331	GO:0004930;GO:0007186;GO:0016021
OG0035397	GO:0016021;GO:0055085
OG0033502	GO:0003676
OG0024468	GO:0004930;GO:0007186;GO:0016021
OG0018032	GO:0003676
OG0000974	GO:0008270;GO:0005515
OG0004033	GO:0004560;GO:0005975;GO:0006004
OG0012896	GO:0005515
OG0027295	GO:0005515
OG0018233	GO:0005515
OG0035894	GO:0003824;GO:0005975;GO:0030246;GO:0004559;GO:0006013
OG0008212	GO:0004672;GO:0005524;GO:0006468
OG0010148	GO:0004930;GO:0007186;GO:0016021
OG0027218	GO:0005509
OG0008345	GO:0004672;GO:0005524;GO:0006468
OG0008866	GO:0030246
OG0002829	GO:0004484;GO:0004651;GO:0005634;GO:0006370;GO:0008138;GO:0016311
OG0015113	GO:0003676
OG0014453	GO:0000776;GO:0034508
OG0018038	GO:0009522;GO:0009538;GO:0015979
OG0020929	GO:0003676;GO:0015074
OG0026626	GO:0005576;GO:0006030;GO:0008061
OG0030165	GO:0005515
OG0001192	GO:0003676
OG0015727	GO:0008270
OG0004656	GO:0005515
OG0005308	GO:0016020;GO:0016021;GO:0055085
OG0021458	GO:0046983
OG0032483	GO:0016021;GO:0055085
OG0034912	GO:0005634
OG0032271	GO:0003677;GO:0003678;GO:0005524;GO:0005634;GO:0006270;GO:0042555
OG0001670	GO:0003735;GO:0005840;GO:0006412;GO:0005622
OG0021498	GO:0008168;GO:0032259
OG0020806	GO:0008270
OG0028519	GO:0005267;GO:0016020;GO:0071805
OG0004208	GO:0003777;GO:0005524;GO:0007018;GO:0008017
OG0009312	GO:0005515;GO:0005524;GO:0005694;GO:0051276
OG0005541	GO:0070403
OG0012645	GO:0003824;GO:0008152
OG0003775	GO:0005509
OG0033989	GO:0009055
OG0018380	GO:0003723
OG0025555	GO:0005622;GO:0008270;GO:0005515
OG0004489	GO:0003700;GO:0006355;GO:0003677;GO:0005634;GO:0005515
OG0020029	GO:0003924;GO:0005525
OG0003003	GO:0003677;GO:0005634;GO:0005515
OG0008784	GO:0004553;GO:0005975
OG0030075	GO:0005509
OG0026163	GO:0004831;GO:0000049;GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0005737;GO:0006437
OG0025777	GO:0003676
OG0017769	GO:0005488
OG0020261	GO:0019901
OG0026865	GO:0003824;GO:0006084
OG0003999	GO:0003824;GO:0006520;GO:0008483;GO:0009058;GO:0030170
OG0033446	GO:0003676
OG0008577	GO:0005515;GO:0003676
OG0013018	GO:0004553;GO:0005576;GO:0005975;GO:0030248
OG0012931	GO:0003676;GO:0005524
OG0009192	GO:0004623;GO:0006644;GO:0050482;GO:0005509;GO:0016042
OG0028492	GO:0004672;GO:0005524;GO:0006468
OG0013797	GO:0016491;GO:0055114;GO:0003824;GO:0030976;GO:0010181
OG0036951	GO:0003735;GO:0005622;GO:0005840;GO:0006412
OG0016025	GO:0005515
OG0011309	GO:0046872
OG0014799	GO:0004672;GO:0005524;GO:0006468;GO:0004674
OG0016134	GO:0004175;GO:0006511;GO:0019773;GO:0004298;GO:0005839;GO:0051603
OG0010293	GO:0007165
OG0007918	GO:0005515
OG0001025	GO:0016020;GO:0005044
OG0011548	GO:0008152;GO:0008484;GO:0003824
OG0004833	GO:0005515;GO:0042981
OG0035683	GO:0003824
OG0005820	GO:0000906;GO:0009231;GO:0009349
OG0000220	GO:0004672;GO:0006468;GO:0009190;GO:0016849;GO:0035556;GO:0004713
OG0028033	GO:0005681;GO:0008380
OG0016948	GO:0003700;GO:0006355
OG0009784	GO:0000077;GO:0030896;GO:0005730
OG0003943	GO:0016021
OG0025793	GO:0005515
OG0036925	GO:0005509
OG0004195	GO:0003735;GO:0005840;GO:0006412
OG0033739	GO:0005525;GO:0003924
OG0025169	GO:0003735;GO:0005840;GO:0006412
OG0027738	GO:0005515
OG0009839	GO:0005515
OG0035809	GO:0005515
OG0004261	GO:0005515;GO:0007165
OG0005409	GO:0005515
OG0010725	GO:0008641;GO:0016881
OG0010279	GO:0005507;GO:0016491;GO:0055114
OG0032207	GO:0003723;GO:0005047;GO:0005786;GO:0006614;GO:0008312;GO:0030942;GO:0005515
OG0003350	GO:0006464;GO:0004077
OG0015949	GO:0005515
OG0008468	GO:0016491;GO:0055114
OG0031380	GO:0003824
OG0028933	GO:0050290
OG0003340	GO:0006508;GO:0016805
OG0011832	GO:0003924;GO:0005200;GO:0005525;GO:0005874;GO:0007017
OG0030576	GO:0003824;GO:0050662
OG0026840	GO:0004427;GO:0009678;GO:0015992;GO:0016020
OG0024504	GO:0003676
OG0008617	GO:0005515
OG0013780	GO:0000166;GO:0003677;GO:0001882;GO:0003887;GO:0006260
OG0020909	GO:0000724;GO:0016197;GO:0030119
OG0012566	GO:0004930;GO:0007186;GO:0016021
OG0021288	GO:0005515;GO:0004713;GO:0006468;GO:0004672
OG0006318	GO:0008376;GO:0032580
OG0027769	GO:0003676
OG0019074	GO:0006811;GO:0016021;GO:0003676;GO:0015074
OG0000786	GO:0008757
OG0011703	GO:0071203
OG0029347	GO:0005509;GO:0016020;GO:0007156
OG0036170	GO:0003723;GO:0003735;GO:0006412;GO:0015935;GO:0005622;GO:0019843
OG0031943	GO:0005267
OG0022971	GO:0015035
OG0031942	GO:0005515
OG0016392	GO:0005515
OG0021455	GO:0016592;GO:0003824
OG0019804	GO:0046912;GO:0004108;GO:0005737
OG0019457	GO:0005515
OG0009124	GO:0008234
OG0027513	GO:0005515;GO:0051260
OG0024466	GO:0045454
OG0001111	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497
OG0030131	GO:0055114
OG0013923	GO:0008236;GO:0006508;GO:0004252
OG0002635	GO:0035556
OG0001599	GO:0005515;GO:0007165;GO:0006886;GO:0016192;GO:0030131
OG0000734	GO:0015078;GO:0015991;GO:0033179;GO:0000220
OG0000004	GO:0006508;GO:0008233
OG0006650	GO:0010309;GO:0055114
OG0005240	GO:0005525
OG0012226	GO:0005515
OG0036703	GO:0003723;GO:0006396;GO:0001522;GO:0009451;GO:0009982
OG0013526	GO:0003676
OG0035664	GO:0009116
OG0036821	GO:0003735;GO:0005840;GO:0006412
OG0024038	GO:0005515
OG0029561	GO:0003676;GO:0008270
OG0030904	GO:0005515
OG0016782	GO:0003968;GO:0016779
OG0026078	GO:0005515
OG0030583	GO:0005515
OG0016468	GO:0003924;GO:0004871;GO:0007186;GO:0019001;GO:0031683;GO:0007165
OG0013236	GO:0003676;GO:0008270
OG0033073	GO:0005680;GO:0090266
OG0021676	GO:0005515
OG0022714	GO:0004672;GO:0005524;GO:0006468
